2019-12-21T14:29:02
Collection: /var/www/html/odv_data/Dirty_Dataset/Dirty_Dataset.odv

Cruise Label	Cruise ID	Station Count	Sample Count	Station ID Range	Longitude Range	Latitude Range	Time Period	Availability
								
All Cruises (468)	0	10622	165704	1 - 10622	0.4°E - 10°E	39.6°N - 44.4°N	16 Oct 1864 - 15 Dec 2005	99920.0000
								
WOD05_06000177	1	5	42	1 - 5	6.8°E - 7.7°E	40.8°N - 43°N	30 Sep 1970 - 22 Oct 1970	999--.----
WOD05_06009780	2	43	398	6 - 48	6.9°E - 8.6°E	40.7°N - 43.7°N	12 Oct 1966 - 30 Oct 1966	9895-.----
WOD05_11001016	3	5	36	49 - 53	3.3°E - 5.3°E	42.5°N - 43.2°N	24 Mar 1964 - 29 Mar 1964	9994-.----
WOD05_11001017	4	1	12	54 - 54	3.5°E - 3.5°E	42.2°N - 42.2°N	01 Apr 1964 - 01 Apr 1964	9999-.----
WOD05_11001171	5	4	20	55 - 58	4.8°E - 4.8°E	42°N - 42°N	12 Aug 1976 - 21 Aug 1976	99-9-.9-9-
WOD05_26002461	6	1	16	59 - 59	3°E - 3°E	40.6°N - 40.6°N	29 Aug 1910 - 29 Aug 1910	9999-.--5-
WOD05_29000039	7	19	335	60 - 78	0.5°E - 5°E	40.2°N - 42.4°N	06 Oct 1976 - 23 Oct 1976	99998.99-2
WOD05_29001000	8	31	314	79 - 109	3.4°E - 6.7°E	40.9°N - 43.4°N	15 Sep 1990 - 29 Sep 1990	9----.---9
WOD05_29001047	9	4	20	110 - 113	2.4°E - 9.7°E	40.1°N - 42.9°N	17 Jul 1975 - 24 Jul 1975	992--.----
WOD05_29001058	10	18	395	114 - 131	1.8°E - 4.2°E	40.8°N - 42.1°N	06 Mar 1982 - 12 Mar 1982	999--.----
WOD05_29001074	11	6	35	132 - 137	0.4°E - 2.9°E	40°N - 40.9°N	26 Jul 1915 - 12 Aug 1915	9991-.----
WOD05_29001076	12	3	16	138 - 140	5.4°E - 9.4°E	40.3°N - 41.3°N	08 Sep 1920 - 10 Sep 1920	999--.----
WOD05_31000197	13	11	173	141 - 151	7.6°E - 9.8°E	42.8°N - 44°N	21 Jul 1963 - 23 Jul 1963	99998.-6--
WOD05_31000207	14	14	255	152 - 165	6°E - 6.1°E	40.5°N - 43°N	25 Jun 1959 - 06 Jul 1959	99998.----
WOD05_31001355	15	60	1165	166 - 225	3.3°E - 8.5°E	40°N - 43.4°N	23 Jan 1969 - 07 Mar 1969	9998-.----
WOD05_31001868	16	1	21	226 - 226	7.8°E - 7.8°E	41.3°N - 41.3°N	21 Mar 1970 - 21 Mar 1970	99999.99--
WOD05_31001910	17	3	21	227 - 229	6.9°E - 6.9°E	41°N - 41°N	27 Aug 1970 - 27 Aug 1970	9999-.----
WOD05_31003222	18	112	2021	230 - 341	1.3°E - 9.9°E	40.1°N - 44.3°N	08 Feb 1961 - 10 Mar 1961	9999-.----
WOD05_31012575	19	16	367	342 - 357	6°E - 8.6°E	40°N - 43.6°N	24 Jan 1969 - 07 Mar 1969	9999-.----
WOD05_31013675	20	1	18	358 - 358	3.3°E - 3.3°E	40.4°N - 40.4°N	21 Mar 1951 - 21 Mar 1951	9999-.----
WOD05_31013683	21	1	16	359 - 359	9.1°E - 9.1°E	43.4°N - 43.4°N	13 Mar 1951 - 13 Mar 1951	9999-.----
WOD05_31013684	22	2	34	360 - 361	5.9°E - 8.1°E	41.4°N - 42.4°N	13 Mar 1951 - 21 Mar 1951	9999-.----
WOD05_31013695	23	1	5	362 - 362	10°E - 10°E	43.1°N - 43.1°N	19 Dec 1965 - 19 Dec 1965	999--.----
WOD05_31014669	24	6	125	363 - 368	4.4°E - 9.9°E	40°N - 42.4°N	05 Feb 1962 - 11 Feb 1962	9999-.----
WOD05_31014869	25	1	27	369 - 369	5.8°E - 5.8°E	40.7°N - 40.7°N	04 Aug 1962 - 04 Aug 1962	998--.----
WOD05_31014877	26	1	13	370 - 370	3.6°E - 3.6°E	42°N - 42°N	23 Feb 1969 - 23 Feb 1969	9999-.----
WOD05_31014887	27	6	28	371 - 376	9.7°E - 10°E	42.9°N - 44°N	17 Dec 1965 - 19 Dec 1965	999--.----
