2019-12-21T14:29:02
Collection: /var/www/html/odv_data/Dirty_Dataset/Dirty_Dataset.odv

Cruise Label	Variable Label	Sample Count	Total Sample Count
WOD05_06000177	1: Depth	42	42
WOD05_06000177	2: Temperature	42	42
WOD05_06000177	3: Salinity	40	42
WOD05_06009780	1: Depth	398	398
WOD05_06009780	2: Temperature	343	398
WOD05_06009780	3: Salinity	389	398
WOD05_06009780	4: Oxygen	219	398
WOD05_11001016	1: Depth	36	36
WOD05_11001016	2: Temperature	36	36
WOD05_11001016	3: Salinity	36	36
WOD05_11001016	4: Oxygen	15	36
WOD05_11001017	1: Depth	12	12
WOD05_11001017	2: Temperature	11	12
WOD05_11001017	3: Salinity	11	12
WOD05_11001017	4: Oxygen	11	12
WOD05_11001171	1: Depth	20	20
WOD05_11001171	2: Temperature	20	20
WOD05_11001171	4: Oxygen	20	20
WOD05_11001171	6: Silicate	19	20
WOD05_11001171	8: pH	19	20
WOD05_26002461	1: Depth	16	16
WOD05_26002461	2: Temperature	16	16
WOD05_26002461	3: Salinity	15	16
WOD05_26002461	4: Oxygen	16	16
WOD05_26002461	8: pH	9	16
WOD05_29000039	1: Depth	335	335
WOD05_29000039	2: Temperature	324	335
WOD05_29000039	3: Salinity	335	335
WOD05_29000039	4: Oxygen	327	335
WOD05_29000039	5: Phosphate	300	335
WOD05_29000039	6: Silicate	335	335
WOD05_29000039	7: Nitrate	335	335
WOD05_29000039	9: Chlorophyll	81	335
WOD05_29001000	1: Depth	314	314
WOD05_29001000	9: Chlorophyll	314	314
WOD05_29001047	1: Depth	20	20
WOD05_29001047	2: Temperature	20	20
WOD05_29001047	3: Salinity	4	20
WOD05_29001058	1: Depth	395	395
WOD05_29001058	2: Temperature	395	395
WOD05_29001058	3: Salinity	395	395
WOD05_29001074	1: Depth	35	35
WOD05_29001074	2: Temperature	35	35
WOD05_29001074	3: Salinity	32	35
WOD05_29001074	4: Oxygen	4	35
WOD05_29001076	1: Depth	16	16
WOD05_29001076	2: Temperature	16	16
